filename,width,height,class,xmin,ymin,xmax,ymax
01.jpg,800,600,Armyworms,178,83,687,585
02.jpg,800,600,Armyworms,9,157,148,270
02.jpg,800,600,Armyworms,307,165,446,226
02.jpg,800,600,Armyworms,476,221,587,358
02.jpg,800,600,Armyworms,255,351,354,525
02.jpg,800,600,Armyworms,414,489,527,590
03.jpg,800,600,Armyworms,225,362,519,534
03.jpg,800,600,Armyworms,320,224,550,341
03.jpg,800,600,Armyworms,389,147,530,217
05.jpg,800,600,Armyworms,119,198,649,405
06.jpg,800,600,Armyworms,51,69,771,543
07.jpg,800,600,Armyworms,259,158,555,474
09.jpg,800,600,Armyworms,97,169,735,518
1.jpg,768,574,Paddy_stemborer,228,189,585,376
10.jpg,800,600,Armyworms,149,82,460,369
100.jpg,800,600,Brown_plant_leafhopper,282,123,484,435
101.jpg,800,600,Brown_plant_leafhopper,12,32,750,418
102.jpg,800,600,Brown_plant_leafhopper,86,39,526,276
102.jpg,800,600,Brown_plant_leafhopper,547,297,784,543
103.jpg,800,600,Brown_plant_leafhopper,167,188,572,398
104.jpg,800,600,Brown_plant_leafhopper,178,40,530,565
106.jpg,800,600,Brown_plant_leafhopper,197,145,577,409
107.jpg,800,600,Brown_plant_leafhopper,189,116,758,399
108.jpg,800,600,Brown_plant_leafhopper,388,279,698,484
109.jpg,800,600,Brown_plant_leafhopper,112,92,773,510
11.jpg,800,600,Armyworms,145,137,603,452
110.jpg,800,600,Brown_plant_leafhopper,157,24,621,468
111.jpg,800,600,Brown_plant_leafhopper,506,174,764,495
111.jpg,800,600,Brown_plant_leafhopper,20,173,310,504
112.jpg,800,600,Brown_plant_leafhopper,56,138,751,439
113.jpg,800,600,Brown_plant_leafhopper,127,112,728,448
114.jpg,800,600,Brown_plant_leafhopper,190,97,585,536
115.jpg,800,600,Brown_plant_leafhopper,297,135,700,455
116.jpg,800,600,Brown_plant_leafhopper,250,35,622,571
117.jpg,800,600,Brown_plant_leafhopper,320,185,713,336
117.jpg,800,600,Brown_plant_leafhopper,109,312,391,476
118.jpg,800,600,Brown_plant_leafhopper,158,254,461,404
119.jpg,800,600,Brown_plant_leafhopper,252,106,765,558
120.jpg,800,600,Brown_plant_leafhopper,255,141,458,344
120.jpg,800,600,Brown_plant_leafhopper,323,384,443,534
121.jpg,800,600,Brown_plant_leafhopper,73,24,783,493
122.jpg,800,600,Brown_plant_leafhopper,94,58,676,513
123.jpg,800,600,Brown_plant_leafhopper,319,206,620,372
124.jpg,800,600,Brown_plant_leafhopper,177,67,782,476
125.jpg,800,600,Brown_plant_leafhopper,107,57,607,471
126.jpg,800,600,Brown_plant_leafhopper,431,174,727,369
126.jpg,800,600,Brown_plant_leafhopper,47,414,316,567
126.jpg,800,600,Brown_plant_leafhopper,187,301,430,441
127.jpg,800,600,Brown_plant_leafhopper,379,35,724,347
128.jpg,800,600,Brown_plant_leafhopper,94,173,767,464
129.jpg,800,600,Brown_plant_leafhopper,289,225,472,461
13.jpg,800,600,Armyworms,38,54,667,593
130.jpg,800,600,Brown_plant_leafhopper,226,206,615,454
131.jpg,800,600,Brown_plant_leafhopper,272,217,516,404
132.jpg,800,600,Brown_plant_leafhopper,104,18,771,546
133.jpg,800,600,Brown_plant_leafhopper,305,210,466,357
134.jpg,800,600,Brown_plant_leafhopper,110,304,343,394
134.jpg,800,600,Brown_plant_leafhopper,37,454,203,524
134.jpg,800,600,Brown_plant_leafhopper,526,272,620,376
135.jpg,800,600,Brown_plant_leafhopper,210,230,543,381
14.jpg,800,600,Armyworms,331,454,732,581
14.jpg,800,600,Armyworms,17,34,375,154
14.jpg,800,600,Armyworms,186,204,650,374
14.jpg,800,600,Armyworms,46,333,270,505
143.jpg,800,600,Gall_midge,126,83,717,505
144.jpg,800,600,Gall_midge,154,171,400,487
146.jpg,800,600,Gall_midge,314,268,565,470
147.jpg,800,600,Gall_midge,182,237,382,470
148.jpg,800,600,Gall_midge,210,274,434,473
148.jpg,800,600,Gall_midge,415,193,542,309
149.jpg,800,600,Gall_midge,117,184,431,518
15.jpg,800,600,Armyworms,264,140,512,476
150.jpg,800,600,Gall_midge,248,206,432,450
151.jpg,800,600,Gall_midge,216,132,423,306
151.jpg,800,600,Gall_midge,385,312,497,395
153.jpg,800,600,Gall_midge,161,120,415,328
154.jpg,800,600,Gall_midge,270,271,364,396
155.jpg,800,600,Gall_midge,329,214,612,403
156.jpg,800,600,Gall_midge,180,251,367,442
156.jpg,800,600,Gall_midge,467,66,584,296
156.jpg,800,600,Gall_midge,684,54,777,234
157.jpg,800,600,Gall_midge,264,307,473,483
158.jpg,800,600,Gall_midge,400,67,502,453
159.jpg,800,600,Gall_midge,116,198,325,318
160.jpg,800,600,Gall_midge,503,149,597,295
161.jpg,800,600,Gall_midge,375,215,535,416
162.jpg,800,600,Gall_midge,203,84,534,376
163.jpg,800,600,Gall_midge,338,106,642,303
164.jpg,800,600,Gall_midge,193,177,311,356
165.jpg,800,600,Gall_midge,348,139,510,337
166.jpg,800,600,Gall_midge,285,157,560,471
167.jpg,800,600,Gall_midge,346,351,696,520
167.jpg,800,600,Gall_midge,352,50,443,237
167.jpg,800,600,Gall_midge,11,83,273,261
167.jpg,800,600,Gall_midge,480,38,747,272
168.jpg,800,600,Gall_midge,124,290,515,500
169.jpg,800,600,Gall_midge,221,172,615,459
17.jpg,800,600,Armyworms,383,268,725,582
170.jpg,800,600,Gall_midge,84,33,767,574
171.jpg,800,600,Gall_midge,310,84,425,239
171.jpg,800,600,Gall_midge,145,177,267,330
171.jpg,800,600,Gall_midge,87,400,220,530
172.jpg,800,600,Gall_midge,221,259,769,480
177.jpg,800,600,Grasshopper,90,247,768,551
178.jpg,800,600,Grasshopper,94,154,700,478
179.jpg,800,600,Grasshopper,17,135,729,549
18.jpg,800,600,Armyworms,143,165,639,409
180.jpg,800,600,Grasshopper,54,153,617,473
181.jpg,800,600,Grasshopper,123,74,791,484
182.jpg,800,600,Grasshopper,181,153,774,504
183.jpg,800,600,Grasshopper,124,103,678,433
184.jpg,800,600,Grasshopper,75,96,724,525
185.jpg,800,600,Grasshopper,12,148,744,550
186.jpg,800,600,Grasshopper,202,159,777,406
187.jpg,800,600,Grasshopper,169,114,621,457
188.jpg,800,600,Grasshopper,35,203,637,445
19.jpg,800,600,Armyworms,17,99,234,256
19.jpg,800,600,Armyworms,231,19,364,131
19.jpg,800,600,Armyworms,198,361,363,530
19.jpg,800,600,Armyworms,387,192,627,368
19.jpg,800,600,Armyworms,380,414,667,584
190.jpg,800,600,Grasshopper,174,138,719,584
